,Unnamed: 0,dfo_centroid_y,dfo_main_cause,gfd_country_name,dfo_centroid_x,glide_index,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,id,began,dfo_validation_type,composite_type,dfo_country,countries,dfo_other_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,otsu_sample_res,flood_file,date,iso3
706,706,27.875808,Heavy rain,['CHINA'],110.828548,,5,2.0,0.7,135000,2527,2004-07-17,News,3Day,China,['China'],,2,['CH'],2004-07-30,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2527_From_20040717_to_20040730/DFO_2527_From_20040717_to_20040730.tif,731779,['CHN']
707,707,13.431255,Tropical cyclone,['PHILIPPINES'],123.386648,,5,1.0,0.7,35000,2587,2004-11-19,News,3Day,Philippines,['Philippines'],,61,['RP'],2004-11-29,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2587_From_20041119_to_20041129/DFO_2587_From_20041119_to_20041129.tif,731904,['PHL']
708,708,-16.091808,Heavy Rain,"['CONGO (Kinshasa)', 'MOZAMBIQUE', 'MALAWI', 'ZAMBIA', 'ZIMBABWE', 'BOTSWANA', 'NAMIBIA', 'ANGOLA']",27.736857,FL-2010-000038-ZMB,5,1.0,0.7,115,3616,2010-03-01,0,3Day,Zambia,"['Angola', 'Mozambique', 'Zambia', 'Namibia', 'Botswana', 'Zimbabwe']",,0,"['CG', 'MZ', 'MI', 'ZA', 'ZI', 'BC', 'WA', 'AO']",2010-03-17,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3616_From_20100301_to_20100317/DFO_3616_From_20100301_to_20100317.tif,733832,"['AGO', 'MOZ', 'ZMB', 'NAM', 'BWA', 'ZWE']"
709,709,5.543563,Heavy Rain,"['TOGO', 'GHANA', 'BENIN', 'NIGERIA', 'CAMEROON']",6.509699,,5,1.0,0.7,5000,3555,2009-10-20,0,3Day,Nigeria,"['Ghana', 'Nigeria', 'Togo', 'Benin']",,0,"['TO', 'GH', 'BN', 'NI', 'CM']",2009-10-26,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3555_From_20091020_to_20091026/DFO_3555_From_20091020_to_20091026.tif,733700,"['GHA', 'NGA', 'TGO', 'BEN']"
710,710,23.7218,Tropical Storm Willa,"['UNITED STATES', 'MEXICO']",-105.236,,5,1.5,0.7,0,4695,2018-10-23,News Reports,3Day,Mexico,,,0,"['US', 'MX']",2018-10-27,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4695_From_20181023_to_20181027/DFO_4695_From_20181023_to_20181027.tif,736990,"['MEX', 'USA']"
711,711,36.026988,Torrential Rain,"['CHINA', 'AFGHANISTAN', 'PAKISTAN']",72.079166,,5,1.0,0.7,0,3666,2010-06-22,0,3Day,Pakistan,"['Pakistan', 'Afghanistan']",,46,"['CH', 'AF', 'PK']",2010-06-24,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3666_From_20100622_to_20100624/DFO_3666_From_20100622_to_20100624.tif,733945,"['PAK', 'AFG']"
712,712,7.987227,Tropical Storm Bopha,['PHILIPPINES'],124.468671,,5,2.0,0.7,60000,4005,2012-12-04,News,3Day,Philippines,['Philippines'],,74,['RP'],2012-12-04,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4005_From_20121204_to_20121204/DFO_4005_From_20121204_to_20121204.tif,734841,['PHL']
713,713,31.341302,Hurricane Gustav,['UNITED STATES'],-92.492978,,5,1.5,0.7,0,3370,2008-09-01,News,3Day,USA,['United States'],,0,['US'],2008-09-02,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3370_From_20080901_to_20080902/DFO_3370_From_20080901_to_20080902.tif,733286,['USA']
714,714,-0.075707,Heavy rain,"['CONGO (Kinshasa)', 'ETHIOPIA', 'SOMALIA', 'SOUTH SUDAN', 'KENYA', 'UGANDA', 'TANZANIA', 'MOZAMBIQUE', 'MALAWI', 'ZAMBIA', 'BURUNDI', 'RWANDA']",33.544103,,5,2.0,0.7,168000,1917,2002-04-26,News,3Day,Africa,"['Sudan', 'Ethiopia', 'Kenya', 'Zaire', 'Mozambique', 'Somalia', 'Uganda', 'Tanzania', 'United Republic of', 'Malawi', 'Zambia', 'Burundi', 'Rwanda']",,160,"['CG', 'ET', 'SO', 'OD', 'KE', 'UG', 'TZ', 'MZ', 'MI', 'ZA', 'BY', 'RW']",2002-05-28,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_1917_From_20020426_to_20020528/DFO_1917_From_20020426_to_20020528.tif,730966,"['SDN', 'ETH', 'KEN', 'COD', 'MOZ', 'SOM', 'UGA', 'TZA', 'MWI', 'ZMB', 'BDI', 'RWA']"
715,715,-2.465434,Torrential Rain,['INDONESIA'],103.351503,FL-2016-000009-IDN,5,1.0,0.7,37000,4330,2016-01-18,News,3Day,Indonesia,['Indonesia'],Malaysia,1,['ID'],2016-03-10,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4330_From_20160118_to_20160310/DFO_4330_From_20160118_to_20160310.tif,735981,['IDN']
716,716,-2.036427,Heavy Rain,"['SOMALIA', 'KENYA', 'TANZANIA']",39.51328,,5,1.5,0.7,100000,4317,2015-12-01,News,3Day,Kenya,"['Kenya', 'Somalia', 'Tanzania', 'United Republic of']",,112,"['SO', 'KE', 'TZ']",2016-01-06,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4317_From_20151201_to_20160106/DFO_4317_From_20151201_to_20160106.tif,735933,"['KEN', 'SOM', 'TZA']"
